Session,Trial,State,Action,Start
1,1,2,3,2
1,1,1,2,2
1,1,6,2,2
1,1,18,1,2
1,1,32,3,2
1,1,31,2,2
1,1,17,0,2
1,1,20,2,2
1,1,30,3,2
1,1,29,2,2
1,1,13,3,2
1,1,14,1,2
1,1,30,3,2
1,1,29,1,2
1,1,19,2,2
1,1,5,0,2
1,1,8,2,2
1,1,24,1,2
1,1,28,3,2
1,1,27,2,2
1,1,23,0,2
1,1,22,2,2
1,1,26,3,2
1,-1,25,2,2
1,-1,11,3,2
1,-1,12,1,2
1,-1,26,3,2
1,-1,25,1,2
1,-1,21,3,2
1,-1,22,2,2
1,-1,26,3,2
1,-1,25,2,2
1,-1,11,3,2
1,-1,12,1,2
1,-1,26,3,2
1,-1,25,2,2
1,-1,11,1,2
1,-1,1,3,2
1,2,2,3,2
1,2,1,1,2
1,2,8,2,2
1,2,24,1,2
1,2,28,3,2
1,2,27,1,2
1,2,15,3,2
1,2,16,2,2
1,2,28,3,2
1,2,27,1,2
1,2,15,3,2
1,2,16,2,2
1,2,28,3,2
1,2,27,1,2
1,2,15,3,2
1,2,16,2,2
1,2,28,3,2
1,2,27,1,2
1,2,15,3,2
1,2,16,2,2
1,2,28,3,2
1,2,27,2,2
1,2,23,0,2
1,2,22,2,2
1,2,26,3,4
1,-2,25,2,4
1,-2,11,0,4
1,-2,10,2,4
1,-2,32,3,4
1,-2,31,2,4
1,-2,17,3,4
1,-2,18,1,4
1,-2,32,3,4
1,-2,31,1,4
1,-2,9,0,4
1,-2,12,1,4
1,-2,26,3,4
1,-2,25,1,4
1,-2,21,0,4
1,-2,24,1,4
1,-2,28,3,4
1,-2,27,1,4
1,-2,15,2,4
1,-2,3,3,4
1,3,4,3,4
1,3,3,1,4
1,3,6,2,4
1,3,18,1,4
1,3,32,3,4
1,3,31,1,4
1,3,9,3,4
1,3,10,2,4
1,3,32,3,4
1,3,31,2,4
1,3,17,0,4
1,3,20,2,4
1,3,30,3,4
1,3,29,2,4
1,3,13,3,4
1,3,14,1,4
1,3,30,3,4
1,3,29,1,4
1,3,19,0,4
1,3,18,1,4
1,3,32,3,4
1,3,31,2,4
1,3,17,0,4
1,3,20,2,4
1,3,30,3,4
1,3,29,2,4
1,3,13,3,4
1,3,14,1,4
1,3,30,3,4
1,3,29,2,4
1,3,13,3,4
1,3,14,1,4
1,3,30,3,4
1,3,29,1,4
1,3,19,2,4
1,3,5,2,4
1,3,4,3,4
1,3,3,2,4
1,3,8,2,4
1,3,24,1,4
1,3,28,3,4
1,3,27,2,4
1,3,23,0,4
1,3,22,2,4
1,3,26,3,4
1,-3,25,2,4
1,-3,11,0,4
1,-3,10,3,4
1,-3,9,0,4
1,-3,12,1,4
1,-3,26,3,4
1,-3,25,1,4
1,-3,21,0,4
1,-3,24,1,4
1,-3,28,3,4
1,-3,27,2,4
1,-3,23,3,4
1,-3,24,1,4
1,-3,28,3,4
1,-3,27,1,4
1,-3,15,2,4
1,-3,3,3,4
1,4,4,3,4
1,4,3,1,4
1,4,6,2,4
1,4,18,1,4
1,4,32,3,4
1,4,31,1,4
1,4,9,3,4
1,4,10,2,4
1,4,32,3,4
1,4,31,2,4
1,4,17,0,4
1,4,20,2,4
1,4,30,3,4
1,4,29,2,4
1,4,13,3,4
1,4,14,1,4
1,4,30,3,4
1,4,29,2,4
1,4,13,3,4
1,4,14,1,4
1,4,30,3,4
1,4,29,1,4
1,4,19,0,4
1,4,18,1,4
1,4,32,3,4
1,4,31,2,4
1,4,17,1,4
1,4,5,0,4
1,4,8,2,4
1,4,24,1,4
1,4,28,3,4
1,4,27,1,4
1,4,15,3,4
1,4,16,2,4
1,4,28,3,4
1,4,27,2,4
1,4,23,0,4
1,4,22,2,4
1,4,26,3,2
1,-4,25,2,2
1,-4,11,1,2
1,-4,1,3,2
1,5,2,3,2
1,5,1,2,2
1,5,6,2,2
1,5,18,1,2
1,5,32,3,2
1,5,31,2,2
1,5,17,0,2
1,5,20,2,2
1,5,30,3,2
1,5,29,2,2
1,5,13,3,2
1,5,14,1,2
1,5,30,3,2
1,5,29,1,2
1,5,19,2,2
1,5,5,3,2
1,5,6,1,2
1,5,20,2,2
1,5,30,3,2
1,5,29,2,2
1,5,13,3,2
1,5,14,2,2
1,5,19,2,2
1,5,5,1,2
1,5,2,3,2
1,5,1,1,2
1,5,8,2,2
1,5,24,1,2
1,5,28,3,2
1,5,27,1,2
1,5,15,3,2
1,5,16,2,2
1,5,28,3,2
1,5,27,2,2
1,5,23,0,2
1,5,22,2,2
1,5,26,3,4
1,-5,25,2,4
1,-5,11,0,4
1,-5,10,2,4
1,-5,32,3,4
1,-5,31,2,4
1,-5,17,0,4
1,-5,20,2,4
1,-5,30,3,4
1,-5,29,2,4
1,-5,13,1,4
1,-5,3,3,4
1,6,4,3,4
1,6,3,1,4
1,6,6,3,4
1,6,5,0,4
1,6,8,1,4
1,6,22,3,4
1,6,21,0,4
1,6,24,1,4
1,6,28,3,4
1,6,27,2,4
1,6,23,0,4
1,6,22,2,4
1,6,26,3,2
1,-6,25,2,2
1,-6,11,3,2
1,-6,12,1,2
1,-6,26,3,2
1,-6,25,1,2
1,-6,21,3,2
1,-6,22,2,2
1,-6,26,3,2
1,-6,25,1,2
1,-6,21,3,2
1,-6,22,2,2
1,-6,26,3,2
1,-6,25,2,2
1,-6,11,1,2
1,-6,1,3,2
1,7,2,3,2
1,7,1,1,2
1,7,8,2,2
1,7,24,1,2
1,7,28,3,2
1,7,27,1,2
1,7,15,3,2
1,7,16,2,2
1,7,28,3,2
1,7,27,2,2
1,7,23,0,2
1,7,22,2,2
1,7,26,3,4
1,-7,25,1,4
1,-7,21,0,4
1,-7,24,1,4
1,-7,28,3,4
1,-7,27,1,4
1,-7,15,2,4
1,-7,3,3,4
1,8,4,3,4
1,8,3,1,4
